,email,result,details
10,admin@galstaun.nsw.edu.au,The email address admin@galstaun.nsw.edu.au is valid,"MX records:
aspmx.l.google.com (1)
alt1.aspmx.l.google.com (5)
alt2.aspmx.l.google.com (5)
alt4.aspmx.l.google.com (10)
alt3.aspmx.l.google.com (10)

connected to aspmx.l.google.com

dialog with aspmx.l.google.com ok

220 mx.google.com ESMTP b3si17028586wmd.164 - gsmtp
HELO ip-adress.com
250 mx.google.com at your service
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 OK b3si17028586wmd.164 - gsmtp
RCPT TO: <admin@galstaun.nsw.edu.au>
250 2.1.5 OK b3si17028586wmd.164 - gsmtp
QUIT
221 2.0.0 closing connection b3si17028586wmd.164 - gsmtp"
11,galston-h.school@det.nsw.edu.au,The email address galston-h.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 SY4AUS01FT005.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 06:22:45 +0000
HELO ip-adress.com
250 SY4AUS01FT005.mail.protection.outlook.com Hello [207.38.89.115]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <galston-h.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
12,galston-p.school@det.nsw.edu.au,The email address galston-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 SY4AUS01FT017.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 06:22:53 +0000
HELO ip-adress.com
250 SY4AUS01FT017.mail.protection.outlook.com Hello [209.126.124.166]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <galston-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
13,tracey.anderson@det.nsw.edu.au,The email address tracey.anderson@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT017.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 06:23:02 +0000
HELO ip-adress.com
250 ME3AUS01FT017.mail.protection.outlook.com Hello [207.38.89.115]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <tracey.anderson@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
14,gardeners-p.school@det.nsw.edu.au,The email address gardeners-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 SY4AUS01FT018.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 06:23:11 +0000
HELO ip-adress.com
250 SY4AUS01FT018.mail.protection.outlook.com Hello [85.93.89.6]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <gardeners-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
15,info@gatewaycommunityhigh.nsw.edu.au,The email address info@gatewaycommunityhigh.nsw.edu.au is valid,"MX records:
macquarie-community-college-mx1.firstwave.com.au (10)
macquarie-community-college-mx2.firstwave.com.au (20)
cluster1.us.messagelabs.com (30)
cluster1a.us.messagelabs.com (40)

connected to macquarie-community-college-mx1.firstwave.com.au

dialog with macquarie-community-college-mx1.firstwave.com.au ok

220 mx.firstwave.com.au ESMTP
HELO ip-adress.com
250 mx.firstwave.com.au
MAIL FROM: <noreply@ip-adress.com>
250 sender <noreply@ip-adress.com> ok
RCPT TO: <info@gatewaycommunityhigh.nsw.edu.au>
250 recipient <info@gatewaycommunityhigh.nsw.edu.au> ok
QUIT
221 mx.firstwave.com.au"
16,oatleysnr-h.school@det.nsw.edu.au,The email address oatleysnr-h.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT012.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 06:23:31 +0000
HELO ip-adress.com
250 ME3AUS01FT012.mail.protection.outlook.com Hello [209.126.124.166]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <oatleysnr-h.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
17,peakhurst-h.school@det.nsw.edu.au,The email address peakhurst-h.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 SY4AUS01FT022.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 06:23:40 +0000
HELO ip-adress.com
250 SY4AUS01FT022.mail.protection.outlook.com Hello [85.93.89.6]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <peakhurst-h.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
18,penshurstg-h.school@det.nsw.edu.au,The email address penshurstg-h.school@det.nsw.edu.au is not valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 SY4AUS01FT007.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 06:23:49 +0000
HELO ip-adress.com
250 SY4AUS01FT007.mail.protection.outlook.com Hello [85.93.88.251]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <penshurstg-h.school@det.nsw.edu.au>
550 5.7.606 Access denied, banned sending IP [85.93.88.251]. To request removal from this list please visit https://sender.office.com/ and follow the directions. For more information please go to  http://go.microsoft.com/fwlink/?LinkID=526655 AS(1430) [SY4AUS01FT007.eop-AUS01.prod.protection.outlook.com]
QUIT
221 2.0.0 Service closing transmission channel"
19,georgesriv-e.school@det.nsw.edu.au,The email address georgesriv-e.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 SY4AUS01FT012.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 06:23:59 +0000
HELO ip-adress.com
250 SY4AUS01FT012.mail.protection.outlook.com Hello [85.93.89.6]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <georgesriv-e.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
20,enquiries@grg.nsw.edu.au,The email address enquiries@grg.nsw.edu.au is valid,"MX records:
grg-nsw-edu-au.mail.protection.outlook.com (5)

connected to grg-nsw-edu-au.mail.protection.outlook.com

dialog with grg-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT005.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 06:24:07 +0000
HELO ip-adress.com
250 ME3AUS01FT005.mail.protection.outlook.com Hello [207.38.89.115]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <enquiries@grg.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
21,info@giss.nsw.edu.au,The email address info@giss.nsw.edu.au is valid,"MX records:
mx1.mtaroutes.com (10)
mx2.mtaroutes.com (20)
mx3.mtaroutes.com (30)
mx4.mtaroutes.com (40)

connected to mx1.mtaroutes.com

dialog with mx1.mtaroutes.com ok

220 mx79.antispamcloud.com ESMTP Exim 20211019.1020 Mon, 25 Oct 2021 08:24:16 +0200
HELO ip-adress.com
250 mx79.antispamcloud.com Hello hazelnut.pi.activeminds.net [85.93.89.6]
MAIL FROM: <noreply@ip-adress.com>
250 OK
RCPT TO: <info@giss.nsw.edu.au>
250 Accepted
QUIT
221 mx79.antispamcloud.com closing connection"
22,gerringongpandc@gmail.com,The email address gerringongpandc@gmail.com is valid,"MX records:
gmail-smtp-in.l.google.com (5)
alt1.gmail-smtp-in.l.google.com (10)
alt2.gmail-smtp-in.l.google.com (20)
alt3.gmail-smtp-in.l.google.com (30)
alt4.gmail-smtp-in.l.google.com (40)

connected to gmail-smtp-in.l.google.com

dialog with gmail-smtp-in.l.google.com ok

220 mx.google.com ESMTP u1si19221420oiu.83 - gsmtp
HELO ip-adress.com
250 mx.google.com at your service
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 OK u1si19221420oiu.83 - gsmtp
RCPT TO: <gerringongpandc@gmail.com>
250 2.1.5 OK u1si19221420oiu.83 - gsmtp
QUIT
221 2.0.0 closing connection u1si19221420oiu.83 - gsmtp"
23,sydney@giantsteps.net.au,The email address sydney@giantsteps.net.au is valid,"MX records:
giantsteps-net-au.mail.protection.outlook.com (0)

connected to giantsteps-net-au.mail.protection.outlook.com

dialog with giantsteps-net-au.mail.protection.outlook.com ok

220 SY4AUS01FT006.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 06:24:37 +0000
HELO ip-adress.com
250 SY4AUS01FT006.mail.protection.outlook.com Hello [207.38.89.115]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <sydney@giantsteps.net.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
24,gibberagon-e.school@det.nsw.edu.au,The email address gibberagon-e.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 SY4AUS01FT008.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 06:24:46 +0000
HELO ip-adress.com
250 SY4AUS01FT008.mail.protection.outlook.com Hello [207.38.89.115]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <gibberagon-e.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
25,gilgandra-h.School@det.nsw.edu.au,The email address gilgandra-h.School@det.nsw.edu.au is not valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 SY4AUS01FT022.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 06:24:55 +0000
HELO ip-adress.com
250 SY4AUS01FT022.mail.protection.outlook.com Hello [85.93.88.251]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <gilgandra-h.School@det.nsw.edu.au>
550 5.7.606 Access denied, banned sending IP [85.93.88.251]. To request removal from this list please visit https://sender.office.com/ and follow the directions. For more information please go to  http://go.microsoft.com/fwlink/?LinkID=526655 AS(1430) [SY4AUS01FT022.eop-AUS01.prod.protection.outlook.com]
QUIT
221 2.0.0 Service closing transmission channel"
26,gilgandra-p.school@det.nsw.edu.au,The email address gilgandra-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 SY4AUS01FT003.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 06:25:05 +0000
HELO ip-adress.com
250 SY4AUS01FT003.mail.protection.outlook.com Hello [209.126.124.166]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <gilgandra-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
27,gillwinga-p.school@det.nsw.edu.au,The email address gillwinga-p.school@det.nsw.edu.au is not valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT009.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 06:25:14 +0000
HELO ip-adress.com
250 ME3AUS01FT009.mail.protection.outlook.com Hello [85.93.88.251]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <gillwinga-p.school@det.nsw.edu.au>
550 5.7.606 Access denied, banned sending IP [85.93.88.251]. To request removal from this list please visit https://sender.office.com/ and follow the directions. For more information please go to  http://go.microsoft.com/fwlink/?LinkID=526655 AS(1430) [ME3AUS01FT009.eop-AUS01.prod.protection.outlook.com]
QUIT
221 2.0.0 Service closing transmission channel"
28,gilroy@parra.catholic.edu.au,The email address gilroy@parra.catholic.edu.au is valid,"MX records:
aspmx.l.google.com (10)
alt1.aspmx.l.google.com (20)
alt2.aspmx.l.google.com (20)
alt3.aspmx.l.google.com (30)
alt4.aspmx.l.google.com (30)

connected to aspmx.l.google.com

dialog with aspmx.l.google.com ok

220 mx.google.com ESMTP d7si22338787wmb.52 - gsmtp
HELO ip-adress.com
250 mx.google.com at your service
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 OK d7si22338787wmb.52 - gsmtp
RCPT TO: <gilroy@parra.catholic.edu.au>
250 2.1.5 OK d7si22338787wmb.52 - gsmtp
QUIT
221 2.0.0 closing connection d7si22338787wmb.52 - gsmtp"
29,girilambon-p.School@det.nsw.edu.au,The email address girilambon-p.School@det.nsw.edu.au is not valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT021.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 06:25:31 +0000
HELO ip-adress.com
250 ME3AUS01FT021.mail.protection.outlook.com Hello [85.93.88.251]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <girilambon-p.School@det.nsw.edu.au>
550 5.7.606 Access denied, banned sending IP [85.93.88.251]. To request removal from this list please visit https://sender.office.com/ and follow the directions. For more information please go to  http://go.microsoft.com/fwlink/?LinkID=526655 AS(1430) [ME3AUS01FT021.eop-AUS01.prod.protection.outlook.com]
QUIT
221 2.0.0 Service closing transmission channel"
30,girraween-h.school@det.nsw.edu.au,The email address girraween-h.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT008.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 06:25:40 +0000
HELO ip-adress.com
250 ME3AUS01FT008.mail.protection.outlook.com Hello [209.126.124.166]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <girraween-h.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
31,gladesvill-p.school@det.nsw.edu.au,The email address gladesvill-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 SY4AUS01FT004.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 06:25:50 +0000
HELO ip-adress.com
250 SY4AUS01FT004.mail.protection.outlook.com Hello [207.38.89.115]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <gladesvill-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
32,gladstone-p.school@det.nsw.edu.au,The email address gladstone-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT010.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 06:25:59 +0000
HELO ip-adress.com
250 ME3AUS01FT010.mail.protection.outlook.com Hello [209.126.124.166]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <gladstone-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
33,glebe-p.school@det.nsw.edu.au,The email address glebe-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 SY4AUS01FT024.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 06:26:07 +0000
HELO ip-adress.com
250 SY4AUS01FT024.mail.protection.outlook.com Hello [85.93.89.6]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <glebe-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
34,gledswoodhills-p.school@det.nsw.edu.au,The email address gledswoodhills-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 SY4AUS01FT023.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 06:26:16 +0000
HELO ip-adress.com
250 SY4AUS01FT023.mail.protection.outlook.com Hello [207.38.89.115]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <gledswoodhills-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
35,gleninnes-h.school@det.nsw.edu.au,The email address gleninnes-h.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT019.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 06:26:25 +0000
HELO ip-adress.com
250 ME3AUS01FT019.mail.protection.outlook.com Hello [207.38.89.115]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <gleninnes-h.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
36,gleninnes-p.school@det.nsw.edu.au,The email address gleninnes-p.school@det.nsw.edu.au is valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 SY4AUS01FT013.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 06:26:35 +0000
HELO ip-adress.com
250 SY4AUS01FT013.mail.protection.outlook.com Hello [209.126.124.166]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <gleninnes-p.school@det.nsw.edu.au>
250 2.1.5 Recipient OK
QUIT
221 2.0.0 Service closing transmission channel"
37,glenwillia-p.school@det.nsw.edu.au,The email address glenwillia-p.school@det.nsw.edu.au is not valid,"MX records:
det-nsw-edu-au.mail.protection.outlook.com (5)

connected to det-nsw-edu-au.mail.protection.outlook.com

dialog with det-nsw-edu-au.mail.protection.outlook.com ok

220 ME3AUS01FT017.mail.protection.outlook.com Microsoft ESMTP MAIL Service ready at Mon, 25 Oct 2021 06:26:43 +0000
HELO ip-adress.com
250 ME3AUS01FT017.mail.protection.outlook.com Hello [85.93.88.251]
MAIL FROM: <noreply@ip-adress.com>
250 2.1.0 Sender OK
RCPT TO: <glenwillia-p.school@det.nsw.edu.au>
550 5.7.606 Access denied, banned sending IP [85.93.88.251]. To request removal from this list please visit https://sender.office.com/ and follow the directions. For more information please go to  http://go.microsoft.com/fwlink/?LinkID=526655 AS(1430) [ME3AUS01FT017.eop-AUS01.prod.protection.outlook.com]
QUIT
221 2.0.0 Service closing transmission channel"
